은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,2.87,3.24,3.77,4.82,5.58,3.58,
BNK부산은행,대출금리,3.12,3.81,4.51,5.31,7.34,4.11,
DGB대구은행,대출금리,3.11,3.35,4.08,5.88,7.33,4.44,
IBK기업은행,대출금리,3.05,3.89,5.50,8.68,7.11,4.91,
KB국민은행,대출금리,2.58,3.57,5.38,9.55,6.23,4.47,
KDB산업은행,대출금리,2.32,2.49,3.46,6.92,9.26,3.34,
NH농협은행,대출금리,3.02,3.82,5.29,9.32,10.60,4.52,
SH수협은행,대출금리,3.17,4.12,4.44,6.98,12.68,4.17,
광주은행,대출금리,3.65,3.59,4.43,5.87,6.81,4.29,
스탠다드차타드은행,대출금리,-,-,5.62,-,3.02,3.84,
신한은행,대출금리,2.21,2.78,4.11,6.89,8.13,3.71,
우리은행,대출금리,2.56,3.30,4.34,9.51,9.68,4.17,
전북은행,대출금리,4.33,4.40,6.19,9.68,13.35,5.16,
제주은행,대출금리,4.17,3.73,4.51,8.87,13.41,4.61,
하나은행,대출금리,2.72,2.87,3.81,4.99,6.08,3.38,
한국씨티은행,대출금리,2.90,3.31,2.05,3.95,-,3.51,
