은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,4.47,4.62,5.38,5.89,6.30,4.67,
BNK부산은행,대출금리,4.03,4.46,4.96,6.16,7.72,4.39,
DGB대구은행,대출금리,4.52,4.94,5.67,7.28,10.91,5.75,
IBK기업은행,대출금리,4.55,5.27,6.91,9.34,8.56,5.89,
KB국민은행,대출금리,3.69,4.67,6.16,9.02,9.66,5.30,
KDB산업은행,대출금리,2.93,3.73,4.68,6.14,10.01,3.73,
NH농협은행,대출금리,3.62,4.00,4.52,7.29,7.23,4.20,
SH수협은행,대출금리,4.46,5.07,4.02,9.72,9.50,4.59,
광주은행,대출금리,4.77,5.46,5.39,6.50,9.15,5.51,
스탠다드차타드은행,대출금리,-,-,-,-,3.34,3.34,
신한은행,대출금리,3.64,3.91,4.95,9.01,9.14,4.67,
우리은행,대출금리,3.57,4.05,5.27,11.05,11.69,5.01,
전북은행,대출금리,4.97,6.03,7.27,11.29,13.13,6.96,
제주은행,대출금리,4.15,4.51,5.47,6.38,-,5.18,
하나은행,대출금리,3.23,3.63,4.09,6.31,10.72,3.98,
한국씨티은행,대출금리,-,5.18,-,-,-,5.18,2022.02.15 부터 개인사업자 및 법인(매출액100억이하) 앞 신규 중단.
