은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.01,4.15,5.22,6.45,6.82,5.10,
BNK부산은행,대출금리,4.06,4.99,5.17,5.71,4.87,5.23,7~10등급 차주 중 채권재조정 업체 포함되어 금리역전현상 발생됨.
DGB대구은행,대출금리,4.29,4.20,4.82,6.14,5.40,5.10,
IBK기업은행,대출금리,3.94,5.00,6.20,8.65,7.40,6.12,
KB국민은행,대출금리,3.37,4.08,5.78,9.13,10.17,6.79,
KDB산업은행,대출금리,3.42,4.15,5.32,8.52,11.03,4.36,
NH농협은행,대출금리,3.31,3.97,5.45,8.82,6.59,5.16,
SH수협은행,대출금리,3.99,4.29,4.66,5.68,9.77,4.80,
광주은행,대출금리,4.40,3.94,5.01,6.25,8.66,5.01,4등급 거액 저금리 여신 취급으로 금리역전현상 발생됨
스탠다드차타드은행,대출금리,-,2.72,3.35,4.89,4.84,3.41,
신한은행,대출금리,3.41,3.58,4.47,7.02,9.64,4.47,
우리은행,대출금리,3.14,3.99,5.56,10.01,9.89,5.60,"7~10등급의 일부업체에 대하여, 채권은행자율협의회 결의에 따라 금리조정되어 6등급과 금리역전 발생"
전북은행,대출금리,4.80,4.95,6.73,9.01,11.80,6.63,
제주은행,대출금리,4.21,4.84,5.32,5.71,13.50,5.01,
하나은행,대출금리,3.32,4.05,4.94,6.34,6.29,4.55,
한국씨티은행,대출금리,3.20,3.05,3.23,3.31,4.88,3.66,
