은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,2.87,3.42,4.09,5.05,5.33,4.12,거액 고금리 대출인 PF대출이 포함되어 전체 평균금리가 높음.
BNK부산은행,대출금리,3.46,3.57,3.94,4.20,4.64,3.91,
DGB대구은행,대출금리,2.68,3.37,3.91,4.15,4.86,3.82,
IBK기업은행,대출금리,2.82,3.20,3.40,3.39,3.38,3.26,
KB국민은행,대출금리,2.77,2.94,3.12,3.73,4.41,3.34,
KDB산업은행,대출금리,3.02,3.38,3.50,3.34,4.49,3.30,
NH농협은행,대출금리,2.99,3.08,3.45,4.03,4.89,3.43,
SH수협은행,대출금리,3.48,3.80,3.66,4.47,3.96,3.84,
광주은행,대출금리,4.00,4.10,4.06,4.58,5.56,4.24,5등급 일부 저금리 여신 연기로 금리역전현상 발생됨
스탠다드차타드은행,대출금리,-,4.17,3.13,2.80,2.84,3.10,
신한은행,대출금리,3.24,3.31,3.62,4.37,4.69,3.53,
우리은행,대출금리,2.90,3.20,3.83,4.91,5.85,3.62,
전북은행,대출금리,3.67,3.76,3.95,3.91,4.15,3.85,
제주은행,대출금리,3.53,3.81,3.97,4.90,5.59,4.00,
하나은행,대출금리,3.14,3.11,3.52,3.79,4.06,3.55,
한국씨티은행,대출금리,3.08,3.12,3.06,3.21,5.55,3.30,
