은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,-,5.33,5.80,4.94,10.02,5.33,
BNK부산은행,대출금리,4.57,4.72,5.24,6.22,7.70,5.81,
DGB대구은행,대출금리,5.14,5.39,5.86,6.96,7.80,5.98,
IBK기업은행,대출금리,4.88,5.76,6.93,9.29,8.65,6.50,
KB국민은행,대출금리,3.99,4.71,6.32,10.46,9.60,6.13,
KDB산업은행,대출금리,3.89,3.91,4.11,6.19,5.99,4.26,
NH농협은행,대출금리,4.02,4.89,5.95,7.86,11.57,4.97,
SH수협은행,대출금리,4.66,5.59,6.26,8.09,11.26,6.04,
광주은행,대출금리,4.70,5.30,5.98,7.58,7.36,6.06,
스탠다드차타드은행,대출금리,-,3.94,2.87,-,-,3.62,
신한은행,대출금리,3.90,4.29,5.23,8.15,8.07,5.04,
우리은행,대출금리,3.65,4.27,5.82,10.54,11.05,5.07,
전북은행,대출금리,5.56,6.29,7.88,11.68,13.57,7.41,
제주은행,대출금리,4.27,4.53,5.26,11.07,13.50,5.08,
하나은행,대출금리,3.97,4.51,5.41,7.64,10.39,5.03,
한국씨티은행,대출금리,4.06,3.37,4.51,-,-,4.80,4등급: 전체 8억중 5억 거래실적등 우대금리 적용
