은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.18,3.90,5.37,6.92,7.56,5.33,
BNK부산은행,대출금리,5.11,4.51,5.55,5.89,6.90,5.40,
DGB대구은행,대출금리,3.15,4.45,5.13,6.57,7.00,5.29,
IBK기업은행,대출금리,3.97,5.13,6.40,8.65,7.67,6.17,
KB국민은행,대출금리,3.36,4.33,6.10,10.05,7.46,5.75,
KDB산업은행,대출금리,3.22,4.11,4.18,6.79,9.62,4.11,
NH농협은행,대출금리,4.02,4.66,6.00,8.60,4.41,5.41,
SH수협은행,대출금리,4.35,4.85,5.64,7.59,8.56,5.71,
광주은행,대출금리,4.33,4.92,5.49,6.78,6.95,5.27,
스탠다드차타드은행,대출금리,-,3.30,4.99,-,3.01,4.45,
신한은행,대출금리,3.45,3.74,4.79,8.10,11.15,4.50,
우리은행,대출금리,3.29,4.15,5.37,10.32,11.60,5.34,
전북은행,대출금리,4.90,5.64,7.09,11.81,12.04,6.44,
제주은행,대출금리,5.10,4.44,4.89,7.18,13.50,5.15,
하나은행,대출금리,3.75,4.55,5.04,7.43,6.16,5.04,
한국씨티은행,대출금리,3.35,3.66,3.20,-,5.87,4.49,"1등급: 전체 77억 중 TCB(기술금융)대출 우대금리 약 20억
5등급: 전체 42억중 TCB(기술금융)대출 우대금리 약 40억"
