은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,3.06,3.72,4.33,4.76,5.84,4.27,
BNK부산은행,대출금리,3.39,3.61,3.92,4.58,5.59,3.96,
DGB대구은행,대출금리,3.27,3.59,3.98,4.41,4.92,3.92,
IBK기업은행,대출금리,3.18,3.53,3.71,3.85,3.64,3.57,
KB국민은행,대출금리,3.31,3.58,3.75,5.24,5.29,3.83,
KDB산업은행,대출금리,2.95,2.97,3.40,3.49,4.23,3.23,
NH농협은행,대출금리,3.40,3.52,3.88,4.55,5.30,3.85,
SH수협은행,대출금리,3.78,3.81,4.22,4.52,4.44,4.03,
광주은행,대출금리,3.83,3.98,4.38,4.92,5.69,4.34,
스탠다드차타드은행,대출금리,-,3.33,3.40,3.30,3.49,3.38,
신한은행,대출금리,3.36,3.65,3.98,5.20,4.92,3.85,
우리은행,대출금리,3.16,3.50,3.89,4.61,5.51,3.79,
전북은행,대출금리,3.94,4.24,4.20,4.71,4.31,4.21,
제주은행,대출금리,4.02,4.07,4.37,5.40,4.49,4.22,
하나은행,대출금리,3.47,3.54,3.82,4.28,4.89,3.88,
한국씨티은행,대출금리,3.60,3.44,3.45,3.98,4.28,3.80,"4등급 : TCB 우대 (5건 33억)
5등급 : 이차보전 (3건 13억)
        기술창업 (1건 4.8억)"
