은행,구분,신용등급별 금리(%),,,,,,참고사항
,,1~3등급,4등급,5등급,6등급,7~10등급,평균금리,
BNK경남은행,대출금리,4.08,3.75,5.50,5.68,7.49,5.07,
BNK부산은행,대출금리,4.66,4.42,5.43,5.36,5.73,5.04,
DGB대구은행,대출금리,4.04,4.34,5.03,6.30,7.94,5.15,
IBK기업은행,대출금리,4.14,5.20,6.53,8.97,7.81,6.17,
KB국민은행,대출금리,3.44,4.24,6.11,9.99,5.68,5.44,
KDB산업은행,대출금리,3.43,4.00,4.56,7.53,7.88,4.24,
NH농협은행,대출금리,4.08,4.72,5.88,8.04,10.92,5.66,
SH수협은행,대출금리,4.34,4.20,5.16,8.30,6.60,5.25,
광주은행,대출금리,4.48,5.04,5.75,7.25,6.53,5.69,
스탠다드차타드은행,대출금리,-,3.52,3.91,-,2.97,3.70,
신한은행,대출금리,3.41,3.80,4.95,8.10,9.04,4.69,
우리은행,대출금리,3.34,4.56,5.28,10.33,10.96,5.25,
전북은행,대출금리,5.40,5.98,7.15,11.02,10.93,6.63,
제주은행,대출금리,4.48,4.73,4.62,5.55,13.50,5.03,
하나은행,대출금리,4.35,4.67,5.17,6.73,7.10,5.01,
한국씨티은행,대출금리,3.80,3.21,3.76,-,5.63,4.61,4등급 : TCB 우대 (1건 65억)
